10000	2
10001	1
10002	2
10004	1
10005	1
10007	2
10008	2
10009	3
10011	1
10012	1
10013	1
10016	2
10024	2
10026	2
10027	1
10028	1
10030	1
10031	2
10032	3
10034	1
10036	2
10038	1
10039	2
10043	1
10044	1
10045	2
10046	1
10048	1
10050	1
10052	1
10054	3
10055	1
10058	1
10060	1
10062	3
10064	1
10065	1
10066	1
10067	2
10068	1
10070	2
10073	2
10074	1
10078	4
10079	1
10080	1
10081	2
10085	1
10086	2
10089	2
10090	1
10091	1
10092	2
10096	2
10097	2
10099	1
10101	1
10104	2
10105	2
10107	2
10110	1
10112	1
10113	1
10115	2
10116	3
10117	2
10118	2
10120	1
10122	1
10123	1
10125	1
10126	1
10128	1
10130	1
10132	1
10134	1
10135	1
10136	2
10137	1
10141	1
10143	1
10144	2
10145	1
10146	1
10150	1
10151	1
10153	1
10162	1
10163	1
10165	1
10167	1
10169	1
10171	2
10173	2
10175	1
10177	3
10178	1
10182	1
10184	1
10188	2
10189	2
10190	1
10192	1
10193	5
10194	1
10195	1
10196	3
10197	1
10201	1
10203	1
10204	1
10205	2
10210	1
10212	2
10213	1
10215	1
10216	2
10217	1
10219	1
10220	1
10221	1
10223	1
10224	1
10226	1
10227	1
10230	1
10231	2
10233	2
10234	1
10238	1
10240	1
10241	1
10242	1
10243	1
10248	1
10249	1
10250	2
10251	1
10252	2
10253	1
10254	2
10255	1
10257	1
10259	2
10261	1
10262	3
10263	2
10265	1
10266	1
10268	1
10269	1
10270	1
10272	2
10273	1
10275	3
10276	1
10277	1
10281	2
10284	3
10285	1
10286	2
10287	1
10288	1
10290	1
10291	1
10292	4
10293	1
10295	2
10296	2
10297	2
10298	1
10299	1
10300	1
10301	1
10302	1
10303	1
10309	1
10311	1
10312	1
10315	1
10318	2
10319	1
10321	1
10322	2
10323	1
10324	2
10326	3
10327	2
10328	1
10329	1
10330	1
10331	1
10333	1
10334	1
10335	1
10336	2
10338	3
10339	1
10342	1
10347	1
10350	2
10351	1
10352	2
10354	1
10356	4
10358	2
10360	1
10364	1
10365	2
10367	1
10368	1
10369	3
10370	2
10372	2
10373	1
10374	2
10375	2
10377	1
10378	1
10379	2
10380	1
10382	1
10383	2
10387	1
10388	1
10391	2
10392	1
10393	1
10394	1
10396	2
10400	3
10401	1
10403	1
10407	2
10409	1
10414	2
10416	1
10418	2
10419	2
10420	1
10422	2
10423	2
10424	1
10427	1
10428	1
10429	2
10431	1
10433	1
10435	2
10437	1
10438	2
10440	2
10441	1
10443	1
10444	2
10445	1
10447	1
